_id,name,price,originalPrice,image,description,inStock,quantity,features[0],features[1],features[2],features[3],rating,reviews,sizes[0],sizes[1],sizes[2],sizes[3],sizes[4],colors[0],gender,brand,category[0],createdAt,updatedAt,__v,category
68d4b74f4bfbb9dfbb0933a5,Nike Jordan,149.2,199.2,C:\Users\Admin\OneDrive\Desktop\Ecommerce_shoe-main\Eccomerce-shoes-master\images\Nike Jordan.png,The iconic Nike Jordan sneaker featuring premium materials and classic design.,true,3,Leather Material,Foam Cushoning,for running,,0,0,US 7,US 8,US 9,US 10,,Red,unisex,Nike,featured,2025-09-25T03:30:23.735Z,2025-09-25T14:59:28.748Z,0,
68d4b9804bfbb9dfbb0933aa,Nike Free Nm,149.2,179.2,C:\Users\Admin\OneDrive\Desktop\Ecommerce_shoe-main\Eccomerce-shoes-master\images\Nike Free Nm.png,Lightweight running shoe with natural motion technology for ultimate comfort.,true,4,Leather Material,heavyweight,for jogging,,0,0,US 7,US 8,US 9,US 10,,Black,unisex,Nike,featured,2025-09-25T03:39:44.432Z,2025-09-25T14:59:11.745Z,0,
68d4b9a74bfbb9dfbb0933ad,Nike Jordan Yd,149.2,189.2,/uploads/1758771699883_nike-f3.png,Premium Jordan design with enhanced cushioning and durability.,true,5,Leather Material,Foam Cushoning,for running,,0,0,US 7,US 8,US 9,US 10,,Greenish-White,unisex,Nike,,2025-09-25T03:40:23.293Z,2025-09-25T04:03:03.891Z,0,featured
68d4ba8a4bfbb9dfbb0933ba,adidas Women Amalgo W Running Shoe,132,155,/uploads/1758771850527_adidas4.png,"The two parts higher quality EVA MIDSOLE concept created provides extra cushion, comfort, flexibility and resilience from toe-off through every phase of your stride. It is delivered in dual colours to create an aesthetically pleasing footwear. Half midsole design promotes a great fit and all-day comfort while the soft underfoot feel comes from a springy midsole foam that creates a smooth ride.",true,4,Synthetic Material,sleek design,for jogging,,0,0,US 7,US 8,US 9,,,Purple,unisex,Adidas,"women,new",2025-09-25T03:44:10.535Z,2025-09-25T07:17:03.056Z,0,
68d4bb234bfbb9dfbb0933bd,adidas Women Base X W Running Shoes,144,159,/uploads/1758772003111_adidas3.png,"Elevate your running experience with the Adidas Base X W shoes, designed for both exceptional comfort and performance. The breathable mesh upper ensures optimal ventilation, keeping your feet cool and dry during intense workouts.",true,6,Foam Cushoning,sleek design,for jogging,,0,0,US 4,US 5,US 6,US 7,US 8,Pink,unisex,Adidas,women,2025-09-25T03:46:43.117Z,2025-09-25T07:17:12.803Z,0,
68d4bbd74bfbb9dfbb0933c2,Adidas Grand Court 2.0 Unisex Casual Sneaker,134,142,/uploads/1758772183582_adidas1.png,"The added forefoot flex plus a Cloudfoam Comfort sockliner in these men's adidas shoes create a luxe feel. The 3-Stripes pick up colours from World Friendship Day. A flagship model for sustaiNot applicablebility, the shoes boast a synthetic leather upper.  ",true,7,Leather Material,sleek design,for casual uise,,0,0,US 7,US 8,US 9,US 10,,White,unisex,Adidas,"men,new",2025-09-25T03:49:43.587Z,2025-09-25T07:18:14.554Z,0,
68d4bc254bfbb9dfbb0933c7,adidas Men Adi-Shawt M Running Shoe,122,132,/uploads/1758772261313_adidas2.png,"When you're ready to get serious about running, you're ready for adidas Adi-Shawt Shoes. They feature a breathable mesh upper along with an EVA midsole which provides optimum cushioning where you need it most. The rubber outsole offers ample traction and skid resistance. Embossing along the mid-foot lends it a 3D look.",true,6,Leather Material,Foam Cushoning,for running,,0,0,,,,,,Blue,unisex,Adidas,men,2025-09-25T03:51:01.317Z,2025-09-25T07:18:05.316Z,0,
68d4bd6b4bfbb9dfbb0933df,Nike Ges bink,130.55,160.55,/uploads/1758772587948_women3.png,Elegant women's sneaker with modern design and superior comfort.\r\n\r\n,true,8,Synthetic Material,Foam Cushoning,for jogging,,0,0,US 4,US 5,US 6,US 7,US 8,Pink,unisex,Nike,"women,new",2025-09-25T03:56:27.951Z,2025-09-25T15:13:40.297Z,0,
68d4bec24bfbb9dfbb0933e7,Nike free Tr,130.55,160.55,C:\Users\Admin\OneDrive\Desktop\Ecommerce_shoe-main\Eccomerce-shoes-master\images\Nike Sply.png,Versatile women's sneaker perfect for both training and casual wear.\r\n\r\n,true,7,Synthetic Material,Foam Cushoning,for jogging,,0,0,US 4,US 5,US 6,US 7,US 8,Orange,unisex,Nike,women,2025-09-25T04:02:10.424Z,2025-09-25T15:20:18.839Z,0,
68d55e0d36ff2a28833a0fa9,Nike Sply,120.2,150.2,C:\Users\Admin\OneDrive\Desktop\Ecommerce_shoe-main\Eccomerce-shoes-master\images\Nike Sply.png,Latest Nike Sply collection featuring innovative design and technology.,true,7,Foam Cushoning,heavyweight,for jogging,,0,0,US 4,US 5,US 6,US 7,US 8,Brown,unisex,Nike,"women,new",2025-09-25T15:21:49.115Z,2025-09-25T15:21:49.115Z,0,
